price,car_title,num_photos,photo_url,location,mileage,description,listing_url,dealer_name
"$26,400",2016 Honda Accord Coupe 2dr V6 Auto Touring - NAVI - LEATHER - LOW KMS,28,,BURNABY,"60,230 KM","Behold, the 2016 Honda Accord Touring Coupe the car that's as cool as the other side of the pillow and as smooth as butter on a hot biscuit. It's the James Bond of coupes, without the tuxedo but with all the swagger. This car's got more curves than a rollercoaster and more...",https://www.autotrader.ca/a/honda/accord%20coupe/burnaby/british%20columbia/5_59916686_20120330161920779/?showcpo=ShowCpo&ncse=no&ursrc=ts&sprx=-2,Destination Honda Burnaby
"$40,000",2018 GMC SIERRA 2500HD 4WD Crew Cab 153.7,15,,GABRIOLA,"70,220 KM","2018 GMC 2500HD 4WD Onyx Black, Base Model w Optional Equipment, Body in Very Good Condition w Some Minor Damage, Excellent Mechanical Condition, All Warranty Service Performed and Documented. Standard Equipment: 6.0 L. V8 Vortec Engine, Heavy Duty 6 Speed Transmission w Over...",https://www.autotrader.ca/a/gmc/sierra%202500/gabriola/british%20columbia/19_12713590_/?showcpo=ShowCpo&ncse=no&ursrc=pl&urp=1&urm=8&sprx=-2,
"$65,050","2022 Ford Explorer ST 4WD Advanced Safety Features, Pano Sunroof",26,https://tdrpmimages.azureedge.net/photos/import/202311/0104/0650/710baddc-55c7-43e7-9ccf-fb2228ccb36c.jpg-180x135,KELOWNA,"26,074 KM",| 10-Speed Automatic Transmission | | Turbocharged 3.0L V6 Engine | | Adaptive Cruise Control | | Lane Keeping Assist | | Leather Seats | | Heated Seats and Cooled Seats | | Heated Steering Wheel | | Rear A/C | | 360 Backup Camera | | Navigation | | Apple Car Play and Android ...,https://www.autotrader.ca/a/ford/explorer/kelowna/british%20columbia/5_60001704_20220711172553476/?showcpo=ShowCpo&ncse=no&ursrc=xpl&urp=2&urm=8&sprx=-2,Go Auto Kelowna
"$34,924",2016 BMW X5 xDrive35i,24,https://tdrpmimages.azureedge.net/photos/import/202310/0509/1636/cd2d7967-d033-4285-a146-d3a5814277e7.jpg-180x135,LANGLEY,"62,414 KM","Heads Up Display, Soft Close Doors, Sirius XM, Rear Sunshades, Heated Front & Rear Seats, 4 Zone Climate Control, Comfort Seats! The 2016 BMW X5 xDrive35i is a fantastic vehicle for several reasons. First and foremost, it offers a potent 3.0-liter turbocharged inline-six engin...",https://www.autotrader.ca/a/bmw/x5/langley/british%20columbia/5_59933073_20110808063216984/?showcpo=ShowCpo&ncse=no&ursrc=xpl&urp=3&urm=8&sprx=-2,BMW MINI LANGLEY
"$11,000",2009 Ford Explorer 4WD 4dr V8 Eddie Bauer,12,https://tdrpmimages.azureedge.net/private/2023/9/15/e20569cb-ea18-4c55-b6fd-af77ee189301.jpg-180x135,RICHMOND,"164,000 KM","LOW MILEAGE, no accidents, original owner 4.6L V8 Eddie Bauer edition two-tone trim Ford Explorer that handles great in winter conditions. Well kept and clean with two-tone premium leather seats, wood grain finish, and chrome highlights. Runs well with no mechanical issues and...",https://www.autotrader.ca/a/ford/explorer/richmond/british%20columbia/19_12687663_/?showcpo=ShowCpo&ncse=no&ursrc=pl&urp=4&urm=8&sprx=-2,
"$29,395",2016 Audi S3 Prestige,15,https://tdrpmimages.azureedge.net/photos/import/202310/0103/4006/0723bf9b-600e-4db4-86bf-ec30b4fe59f5.jpg-180x135,NORTH VANCOUVER,"97,938 KM","Experience the thrill of driving with the precision and luxury of the renowned Audi brand. This stunning pre-owned 2016 Audi S3 2.0T Technik quattro is now available at Capilano Volkswagen, waiting to elevate your driving experience to new heights. Adorned in the captivating S...",https://www.autotrader.ca/a/audi/s3/north%20vancouver/british%20columbia/5_59324347_bs2004512122818/?showcpo=ShowCpo&ncse=no&ursrc=xpl&urp=5&urm=8&sprx=-2,Capilano Volkswagen
"$48,000",2018 BMW 5 Series M550i xDrive Sedan,12,https://tdrpmimages.azureedge.net/photos/202307/0817/0119/e4b85561-1e77-40ad-a457-d70678024a9f.jpg-180x135,VANCOUVER,"78,960 KM","Alpine white Black, Perforated Nappa Leather Upholstery Premium Package Advanced Driver Assistance Package Remote Parking Package Digital Display Key Comfort Seat (heated&cooled&massage function) Price listed before government tax and $595 doc fee Dealer D50009 Carfax: **********",https://www.autotrader.ca/a/bmw/5%20series/vancouver/british%20columbia/5_59047234_20220921133921391/?showcpo=ShowCpo&ncse=no&ursrc=pl&urp=6&urm=8&sprx=-2,ENCORE AUTO GROUP
"$88,288",2008 Audi R8,20,https://tdrpmimages.azureedge.net/photos/import/202305/3104/2854/f7982656-a028-42e2-8b06-10568978bf64.jpg-180x135,RICHMOND,"34,915 KM","ABSOLUTELY STUNNING LOCAL ONE OWNER, ULTRA LOW KM, AUDI R8 SUPERCAR! This is it, the 1st year, and a rare and desireable example in very low production, introductory, Jet Blue Metallic on gorgeous Limestone Gray leather upholstery. Special Factory ordered with optional extra ...",https://www.autotrader.ca/a/audi/r8/richmond/british%20columbia/5_58406154_bs2005415154738/?showcpo=ShowCpo&ncse=no&ursrc=xpl&urp=7&urm=8&sprx=-2,Audi Richmond
"$22,980","2016 Ford Escape SE Nav, Heated Seats, Back Up Camera, Leather",30,https://tdrpmimages.azureedge.net/photos/import/202208/0823/2336/f1dd999c-09a9-487c-aea6-4b34cdbb2e33.jpg-180x135,NEW WESTMINSTER,"125,339 KM","Features Include: Local Vehicle, Clean CARFAX History Report No Accidents, White Exterior w/ Black Interior, Fuel Efficient 1.6L V4 Engine, Navigation, Back Up Camera, Heated Seats, Power Liftgate, Onstar, Leather Seating, 5 Passenger, Bluetooth, XM Radio, Turbo Charged, Power...",https://www.autotrader.ca/a/ford/escape/new%20westminster/british%20columbia/5_55636455_20111122111938391/?showcpo=ShowCpo&ncse=no&ursrc=pl&urp=8&urm=8&sprx=-2,Alliance Motor Cars
"$34,000",2016 Ford F-150 4WD SuperCab 145 XLT,9,https://tdrpmimages.azureedge.net/private/2023/11/1/b96892a7-a438-4edf-abca-6f75a7b564f3.jpg-180x135,REVELSTOKE,"196,000 KM","Canopy and 17"" steel rims included. Highway driven. Oil changes done every 5000-8000km. V6 Twin Turbo. Runs really good, in real good shape.",https://www.autotrader.ca/a/ford/f-150/revelstoke/british%20columbia/19_12722443_/?showcpo=ShowCpo&ncse=no&orup=1_95_31663&sprx=-2,
