price,title,num_photos,photo_url,location,mileage,description,listing_url,dealer_name
"$35,800","2019 Honda Odyssey Touring Certified, 1 Year Free Oil Change",3,,RICHMOND,"115,315 KM","** 1 YEAR OIL CHANGE PLAN INCLUDED ** Local, Certified, Auto high beam, Sunroof, Bluetooth, Rearview Camera, Forward Collision Warning, Lane Departure Warning, Road Departure Mitigation (RDM) system, Apple CarPlay & Android Auto, Power tailgate with programmable height, Remot...",https://www.autotrader.ca/a/honda/odyssey/richmond/british%20columbia/5_60387533_bs20052149580/?showcpo=ShowCpo&ncse=no&ursrc=ts&sprx=-2,Richmond Honda
"$40,990",2017 Porsche Macan AWD 4dr Turbo,3,,PORT MOODY,"152,000 KM","Mint Condition inside and out Non-Smoker (no kids, no pets) No Accidents NO DEALERS OR WHOLESALERS PLEASE Service and oil change Completed October 24th, 2023 Exterior Black Metallic Paint w Matching Painted Side Blades 21"" Porsche Sport Mags (Vesuvius Grey) Exclusive Porsch...",https://www.autotrader.ca/a/porsche/macan/port%20moody/british%20columbia/19_12724288_/?showcpo=ShowCpo&ncse=no&ursrc=pl&urp=1&urm=8&sprx=-2,
"$38,900",2019 Ford Ranger LARIAT 4WD SuperCrew 5' Box,11,https://tdrpmimages.azureedge.net/private/2023/10/16/eaec0359-60c4-4a0a-a91d-44e596ee861b.jpg-180x135,VICTORIA,"97,000 KM","2019 Loaded Ford Ranger, tow package, big screen entertainment center, heated seats, folding bed cover, fender flares and running boards. No accidents, no issues, just need to move into a different style of vehicle. I will not respond to requests for private or third party VIN...",https://www.autotrader.ca/a/ford/ranger/victoria/british%20columbia/19_12711046_/?showcpo=ShowCpo&ncse=no&ursrc=pl&urp=2&urm=8&sprx=-2,
"$13,995",1999 Mazda MX-5,11,https://tdrpmimages.azureedge.net/private/2023/9/24/75eede8e-35fc-4975-9eab-6fea9370cf99.jpg-180x135,VICTORIA,"93,442 KM","1999 Mazda Miata MX-5. Silver, 5-speed manual transmission, 1839cc 140hp 16 valve engine. 93,442 km (58,062 miles). One doting, mature owner; has never left the Greater Victoria BC area. Always garaged, regularly maintained by dealer. Beautiful condition, including the paint (...",https://www.autotrader.ca/a/mazda/mx-5/victoria/british%20columbia/19_12695166_/?showcpo=ShowCpo&ncse=no&ursrc=pl&urp=3&urm=8&sprx=-2,
"$33,100",2022 Honda Civic Sport Certified 1 Year Free Oil Change,22,https://tdrpmimages.azureedge.net/photos/import/202309/2312/2042/b53cb2e6-de3d-42d5-a518-7758815e29c5.jpg-180x135,RICHMOND,"32,055 KM","** 1 YEAR OIL CHANGE PLAN INCLUDED ** No Accidents to Claims, Apple Carplay & Android Auto, Homelink Remote System, Multi-angle Rearview Camera, Push Button Start, Remote Starter, Aluminum-trimmed Sport Pedals, Heated Front Seats, Adaptive Cruise Control, Blind Spot Informati...",https://www.autotrader.ca/a/honda/civic%20sedan/richmond/british%20columbia/5_59908985_bs20052149580/?showcpo=ShowCpo&ncse=no&ursrc=xpl&urp=4&urm=8&sprx=-2,Richmond Honda
"$34,995",2017 Honda CR-V Touring - AWD- SUNROOF- LEATHER- NAV- LOW KMS,21,https://tdrpmimages.azureedge.net/photos/import/202311/0701/4839/b6561fb8-37bc-4790-8ae5-ff7b86a4bd8a.jpg-180x135,PITT MEADOWS,"39,579 KM","Low Mileage, Navigation, Leather Seats, Sunroof, Bluetooth, Heated Steerting Wheel! As one of the top Mazda dealers in Metro Vancouver and Western Canada, West Coast Mazda is truly A Better Place to Buy a Car! Call for pricing and current availability. West Coast Ma...",https://www.autotrader.ca/a/honda/cr-v/pitt%20meadows/british%20columbia/5_59905000_bs20044616214/?showcpo=ShowCpo&ncse=no&ursrc=xpl&urp=5&urm=8&sprx=-2,West Coast Mazda
"$34,999",2022 Toyota Corolla Cross L AWD,30,https://tdrpmimages.azureedge.net/photos/import/202307/2809/1326/6a9f923d-d27a-4ad2-86f4-117b6f328be7.jpg-180x135,COURTENAY,"11,968 KM",AWD - Lane Keep Assist - Radar Cruise Control - Heated Mirrors - LOCAL ISLAND DRIVEN - AND SO MUCH MORE! This 2022 Toyota Corolla Cross is BASICALLY BRAND NEW! Call Austin at Courtenay Mazda and ask me all about this 2022 Corolla Cross Equipped with an advanced all-wheel-drive...,https://www.autotrader.ca/a/toyota/corolla%20cross/courtenay/british%20columbia/5_59203105_ct200651010141429/?showcpo=ShowCpo&ncse=no&ursrc=pl&urp=6&urm=8&sprx=-2,Courtenay Mazda
"$228,995",2020 Mercedes-Benz AMG GT R MAXIMUM THRILLS,22,https://tdrpmimages.azureedge.net/photos/import/202306/2409/2227/79001133-5516-4c79-a601-bc1f0ac5db60.jpg-180x135,NANAIMO,"6,950 KM","Born of the AMG tradition of handcrafted precision, these beasts unleash a visceral growl from their AMG 4.0L V8 biturbo engines. With the AMG Matte Carbon Fiber Trim, RXB-19""/20"" AMG 10-Twin-Spoke Forged Wheels and the high quality cabin, this 2020 AMG GTR is the definition o...",https://www.autotrader.ca/a/mercedes-benz/amg%20gt/nanaimo/british%20columbia/5_58861104_bs2005128103315/?showcpo=ShowCpo&ncse=no&ursrc=xpl&urp=7&urm=8&sprx=-2,Mercedes-Benz Nanaimo
"$61,365",2023 Audi Q5 Progressiv,,https://tdrpmimages.azureedge.net/photos/import/202310/2715/5734/f2ea5743-4d76-40a6-94a9-4d0557f07b92.jpg-180x135,NORTH VANCOUVER,"9,935 KM","This Audi won't be on the lot long! It comes equipped with all the standard amenities for your driving enjoyment. Audi prioritized handling and performance with features such as: front and rear air conditioning, a headlight cleaning system, and power front seats. Our sal...",https://www.autotrader.ca/a/audi/q5/north%20vancouver/british%20columbia/5_56198770_20100630140931262/?showcpo=ShowCpo&ncse=no&ursrc=xpl&urp=8&urm=8&sprx=-2,Capilano Audi
"$48,900",2022 Ram 1500 Crew Cab,14,https://tdrpmimages.azureedge.net/private/2023/11/8/6db31daf-bf32-4cb4-96c4-37fb2eef0706.jpg-180x135,DAWSON CREEK,"22,000 KM","2022 Dodge Ram 1500 V8, 4x4. Crewcab, Low Km, Balance of factory warranty to May 2028 Bumper to Bumper to 60 k, Factory Towing Package, Large Screen Backup Camera, Bluetooth, Heated Seats, Power and Heated Side mirrors, 4 Fobs, 2 with Command Start, Added Coil Springs. (D...",https://www.autotrader.ca/a/ram/1500/dawson%20creek/british%20columbia/19_12726799_/?showcpo=ShowCpo&ncse=no&orup=1_100_33001&sprx=-2,
